Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
49937_1_49.assembly	59	40	26	23	19	15	5217846	5211589	5176627	5160072	5083690	4947836	44	1114818	5214706	57.56	491780	214402	4	7	0.00
49937_1_1.assembly	183	105	84	70	50	32	5368695	5343257	5304903	5198372	4860877	4239189	121	439046	5353503	57.33	119999	61159	13	29	0.00
49937_1_26.assembly	185	89	58	48	34	28	5649056	5618595	5540960	5467581	5231879	5027587	106	787772	5630129	57.03	203831	108528	9	17	0.00
49947_1_183.assembly	134	82	49	40	30	23	5709530	5688821	5613932	5544846	5371520	5132774	97	728076	5700304	56.79	265532	129399	7	14	0.00
49947_1_220.assembly	152	87	60	50	32	28	5108729	5085859	5024135	4950606	4677221	4543199	105	378433	5097346	50.74	190808	108981	10	19	0.00
49937_1_117.assembly	114	61	37	33	27	24	5503913	5483827	5430940	5400358	5315082	5226242	77	904523	5495365	57.26	302308	141204	6	13	0.00
49947_1_63.assembly	184	86	57	42	32	26	5535362	5504884	5427186	5322052	5164746	4954025	103	787772	5516291	57.15	204685	108528	7	16	0.00
49937_1_157.assembly	389	183	110	88	61	37	6104974	6028024	5863472	5700636	5249188	4419007	243	274274	6070049	56.41	95664	41503	18	41	0.00
49990_2_255.assembly	59	36	27	25	23	19	4787313	4780207	4762629	4750136	4705373	4560838	41	716544	4783601	50.59	335743	175168	5	10	0.00
49937_1_156.assembly	102	56	36	33	27	20	5039834	5023455	4975113	4955769	4858215	4622081	68	997530	5032422	50.55	237085	161983	6	12	0.00
49989_1_307.assembly	185	83	48	43	33	25	5228301	5188144	5102551	5068702	4877464	4601477	113	386292	5209446	50.56	239457	105288	8	16	0.00
49989_1_201.assembly	179	115	78	63	52	34	4959084	4938116	4845933	4730706	4567397	3881673	125	270651	4945859	50.61	111283	61782	17	31	0.00
49989_1_125.assembly	109	58	34	29	22	17	5125860	5105696	5057873	5029037	4932668	4759012	70	896544	5114584	50.60	574293	203754	4	8	0.00
49989_2_138.assembly	153	65	40	36	31	25	5128512	5089082	5040985	5012358	4930414	4740300	100	896497	5115130	50.42	203644	112944	7	14	0.00
49989_2_43.assembly	132	64	45	41	28	21	5075571	5049523	5008312	4977963	4792018	4540128	84	581214	5063323	50.64	239678	149240	7	14	0.00
49990_2_7.assembly	122	59	35	31	26	21	5096216	5069666	5023652	4995129	4936298	4758308	82	958311	5085902	50.75	283979	180028	6	12	0.00
49989_1_41.assembly	72	42	27	24	21	18	5324020	5313223	5275460	5256562	5205736	5117090	51	926023	5319492	57.52	358820	211983	5	9	0.00
49989_1_363.assembly	105	53	31	28	22	17	5130449	5107644	5065649	5048159	4960348	4784373	74	663261	5122826	50.25	394009	227663	5	9	0.00
49989_2_289.assembly	162	83	52	45	29	24	5109303	5081397	5004865	4954642	4698048	4512068	105	401697	5095562	50.83	204763	111558	9	17	0.00
49989_1_314.assembly	192	84	47	38	29	20	5076469	5034739	4948977	4882118	4737924	4427863	114	581715	5055236	50.40	290732	107629	6	13	0.00
49989_2_311.assembly	151	98	70	62	45	30	5160710	5137163	5065019	5007239	4692845	4128857	118	400372	5151948	50.58	129121	62137	12	26	0.00
49990_2_112.assembly	143	70	46	42	27	23	5215012	5185242	5135906	5110991	4863497	4712982	94	694050	5202857	50.77	225781	158936	7	14	0.00
49989_2_52.assembly	133	63	40	35	28	19	5123034	5092941	5043311	5006449	4874147	4595431	88	577240	5110721	50.45	303961	169153	6	12	0.00
49937_1_107.assembly	163	84	52	44	31	27	5353069	5320313	5250337	5190269	4982724	4829816	110	614748	5339340	50.55	209197	109674	9	17	0.00
49989_1_379.assembly	1528	509	235	155	43	14	5693356	5306591	4650281	4075752	2339411	1318430	759	259859	5483228	50.25	20429	9733	62	159	0.00
49989_1_197.assembly	193	82	50	42	30	26	5261525	5219049	5152224	5089793	4925528	4772276	112	485879	5240544	50.61	199758	113517	9	17	0.00
49989_2_352.assembly	203	83	51	45	38	27	5338819	5293921	5222165	5182150	5075207	4742182	113	425929	5315696	50.53	239298	106575	9	17	0.00
49989_2_87.assembly	82	49	28	24	22	14	5419757	5408806	5369566	5338046	5309941	5022314	56	933654	5413920	57.31	485540	341928	4	7	0.00
49990_1_351.assembly	128	79	56	46	30	26	5115621	5097732	5043299	4967711	4728318	4594161	92	524561	5106921	50.74	209196	116899	9	17	0.00
49989_2_26.assembly	136	72	47	44	35	24	5107539	5083879	5024797	5003554	4826295	4448176	88	435159	5095852	50.68	207867	116227	9	17	0.00
49937_1_295.assembly	220	90	46	42	34	25	5159041	5105856	5010215	4983802	4880573	4572652	136	525426	5136738	50.80	214133	123597	9	17	0.00
49947_1_192.assembly	274	109	64	53	37	26	5330416	5274281	5166916	5088717	4836338	4448446	141	448683	5297102	50.46	182921	91628	10	19	0.00
49937_1_207.assembly	116	81	51	43	36	25	5671684	5658670	5601015	5543150	5449411	5061767	93	430633	5666386	56.81	229962	142577	10	17	0.00
49989_2_157.assembly	176	88	58	48	33	27	5307932	5268366	5196949	5119374	4875875	4658552	119	346768	5291372	50.68	189409	126000	11	19	0.00
49990_2_78.assembly	173	93	56	48	33	21	5150908	5117120	5034362	4976705	4738578	4350299	125	567080	5138575	50.51	213883	107365	7	15	0.00
49937_1_202.assembly	104	53	37	33	27	22	5388215	5366952	5319223	5291888	5186118	5016675	71	551174	5379849	57.44	324321	136527	7	13	0.00
49947_1_159.assembly	87	48	30	27	22	18	5431858	5417925	5370168	5348378	5265809	5128267	57	838278	5424603	57.14	465852	250129	5	9	0.00
49989_2_100.assembly	219	90	50	42	37	23	5148274	5092310	5021367	4964161	4888001	4388646	139	690211	5125891	50.47	194480	95968	8	17	0.00
49989_1_70.assembly	445	111	65	50	39	33	5256004	5165554	5066141	4956566	4792288	4572756	152	467240	5193721	50.43	131778	90191	12	24	0.00
49937_1_151.assembly	246	116	68	54	41	33	5726702	5678735	5567462	5463231	5220788	4911577	155	360396	5707035	56.66	146462	86322	12	25	0.00
49937_1_18.assembly	172	90	49	39	32	25	5691752	5662920	5563900	5491879	5375923	5137777	108	516291	5676437	57.03	224673	139256	8	16	0.00
49947_1_341.assembly	142	127	104	84	52	29	5085213	5079181	5006857	4860301	4338336	3502632	131	378488	5082483	50.74	109047	39968	15	37	0.00
49937_1_14.assembly	52	37	25	23	21	17	5316377	5312882	5287356	5274455	5243296	5110825	39	764672	5314075	57.35	371277	256802	5	9	0.00
49989_1_325.assembly	124	61	47	41	33	21	5062239	5034553	5001451	4958723	4818407	4436335	83	536807	5050996	50.47	262619	109130	7	14	0.00
49989_1_249.assembly	96	49	34	33	29	23	5166973	5149714	5115478	5106018	5029303	4818806	63	566543	5159542	50.66	281986	155134	7	13	0.00
49990_1_153.assembly	205	90	54	41	30	23	5574997	5535212	5441343	5349766	5181325	4941311	112	709526	5550571	57.13	293138	118025	7	14	0.00
49937_1_270.assembly	136	66	41	37	29	21	5182638	5157873	5104610	5076333	4946688	4676835	84	749211	5171638	50.54	344728	174880	6	12	0.00
49937_1_15.assembly	80	41	27	25	23	17	5414265	5402110	5368008	5350971	5322631	5102876	49	978362	5408085	57.13	377885	203361	5	9	0.00
49989_2_190.assembly	198	92	49	42	34	24	5320472	5272896	5173485	5117650	4990977	4630296	131	484279	5301259	50.55	209195	134008	9	16	0.00
49947_1_221.assembly	129	81	51	43	33	26	5396508	5380885	5309854	5253697	5099914	4869267	93	418636	5389208	57.44	246472	143519	8	16	0.00
49989_1_328.assembly	97	56	37	31	25	15	5198364	5181487	5137963	5094458	5009586	4644483	69	905196	5190722	50.64	360754	210167	5	9	0.00
49989_2_249.assembly	128	71	45	36	26	22	4969632	4948463	4894310	4830198	4676878	4535708	87	582244	4959446	50.63	246032	137432	7	13	0.00
49937_1_172.assembly	111	61	38	31	24	19	5092585	5068903	5014892	4963993	4850536	4662755	86	571269	5085982	50.46	343006	146092	6	12	0.00
49937_1_99.assembly	118	68	52	44	26	23	5133026	5115806	5082213	5022297	4750165	4637636	80	644150	5123957	50.66	215875	123597	6	14	0.00
49989_2_253.assembly	123	67	47	41	28	23	5052376	5033798	4985440	4944547	4731308	4566615	80	622952	5042870	50.73	222270	123597	7	14	0.00
49989_2_44.assembly	186	91	51	43	36	25	5140679	5098747	5009034	4951634	4848633	4462770	129	400134	5124402	50.80	190808	108981	9	18	0.00
49989_2_113.assembly	184	96	61	54	40	32	5487191	5454354	5363239	5309396	5071327	4804592	120	578072	5470800	57.33	175235	91442	11	22	0.00
49989_2_125.assembly	145	78	57	52	39	30	5324554	5297933	5248475	5212265	5025399	4740656	99	347205	5312850	50.66	170271	108999	11	20	0.00
49989_1_182.assembly	64	42	27	26	25	18	4866867	4859178	4824817	4816973	4805648	4562988	46	1082137	4862178	50.64	302594	185178	5	10	0.00
49990_2_165.assembly	77	46	27	26	24	20	5157174	5147841	5110444	5102727	5080076	4946207	51	883814	5151378	50.50	358118	175750	5	10	0.00
49989_1_336.assembly	138	64	40	35	27	19	5180570	5147175	5094580	5063272	4935668	4673293	92	768807	5167777	50.43	286957	163351	6	11	0.00
49989_1_290.assembly	309	142	95	82	58	31	5392600	5325078	5215147	5114560	4732079	3717970	191	278106	5359765	50.55	90193	42834	18	38	0.00
49937_1_170.assembly	110	75	56	52	42	34	5189366	5180173	5142968	5113480	4928191	4624931	80	426936	5183053	57.53	131588	86417	12	24	0.00
49990_2_243.assembly	140	67	43	37	26	18	5167742	5134932	5082076	5041831	4847031	4596186	98	577240	5156702	50.46	326120	169034	6	12	0.00
49937_1_212.assembly	81	66	47	42	37	25	5173608	5168563	5120523	5086894	4997978	4559093	67	478999	5169532	50.48	258090	97855	8	16	0.00
49937_1_375.assembly	108	68	38	33	24	19	5404203	5390101	5312497	5275475	5114578	4930263	80	573993	5398397	57.43	370176	180443	6	11	0.00
49937_1_131.assembly	120	65	37	33	24	20	5079711	5058143	4996936	4966160	4807943	4658028	82	694051	5070672	50.73	231346	173577	7	13	0.00
49990_1_378.assembly	188	71	45	39	26	22	5192796	5143619	5088737	5044538	4856073	4725322	113	530812	5172237	50.77	251148	150471	7	14	0.00
49937_1_361.assembly	213	103	60	50	35	25	5119016	5071477	4975148	4902667	4653808	4278127	139	493816	5096655	50.36	213894	87473	8	19	0.00
49989_2_89.assembly	186	82	42	35	27	21	5244198	5196746	5106360	5049382	4932825	4695948	121	743158	5225251	50.66	226844	154698	8	15	0.00
49990_2_8.assembly	388	192	127	97	68	33	5263679	5175017	5034260	4819905	4351674	3101992	272	245338	5231367	50.39	59473	32619	25	54	0.00
49989_2_30.assembly	178	92	57	52	34	27	5087961	5054518	4971081	4939934	4627942	4394132	118	387173	5072295	50.78	174494	106457	11	20	0.00
49990_2_11.assembly	289	171	122	99	68	36	5291419	5239936	5118880	4957479	4457782	3314833	217	226065	5273630	50.60	63193	34870	24	52	0.00
49990_1_370.assembly	82	51	35	31	28	21	5409938	5399894	5364418	5333966	5291636	5074001	59	628656	5405175	57.26	304038	181588	7	13	0.00
49937_1_138.assembly	298	188	138	112	69	33	5160237	5115722	4997958	4823727	4108374	2826374	226	220908	5143168	50.52	51143	30862	28	60	0.00
49990_1_183.assembly	121	71	42	33	26	19	5714501	5695162	5630484	5560968	5453041	5229559	83	1240101	5704034	56.78	348748	213126	5	11	0.00
49989_2_177.assembly	92	58	34	29	23	20	5512221	5501248	5448267	5414784	5323757	5219835	67	703642	5507368	57.13	387682	203107	6	10	0.00
49989_1_74.assembly	76	44	31	26	20	15	5383204	5370475	5347776	5310531	5207550	5048049	55	1224246	5378128	57.41	371901	319064	4	8	0.00
49947_1_280.assembly	209	101	72	66	50	39	9097638	9056339	8984881	8944440	8713707	8319903	136	809216	9082090	45.48	247177	153360	12	23	0.00
49990_1_120.assembly	193	77	43	34	28	22	5123852	5078020	4999923	4928436	4825566	4622615	112	491984	5103052	50.61	232071	125082	8	15	0.00
49937_1_39.assembly	163	71	41	36	31	22	5049685	5012747	4950711	4910598	4829147	4534635	100	493648	5033750	50.53	239314	115387	7	14	0.00
49937_1_140.assembly	158	97	66	58	45	34	5541854	5521521	5460120	5403722	5168462	4765708	111	349371	5531608	57.00	146390	86373	13	25	0.00
49990_1_288.assembly	106	51	29	27	22	20	5175627	5154513	5112784	5097074	5024877	4953689	69	981101	5167470	50.59	319577	190809	6	11	0.00
49947_1_24.assembly	317	110	77	67	48	33	5282178	5216360	5135356	5055738	4778646	4316489	148	224049	5241730	50.60	123505	81385	15	28	0.00
49989_2_379.assembly	132	74	45	39	29	24	5086630	5063309	4996430	4948113	4802993	4639265	95	400067	5077697	50.83	234365	123597	8	15	0.00
49989_2_237.assembly	232	91	46	37	25	21	5187108	5128415	5034109	4967009	4766185	4636487	132	670571	5157854	50.67	225795	165545	8	14	0.00
49990_1_218.assembly	132	72	46	42	28	23	5113095	5089968	5027781	4998767	4778508	4608656	93	399657	5104015	50.83	204763	158371	9	16	0.00
49990_1_86.assembly	103	62	37	33	28	25	5505330	5488244	5434156	5401825	5326659	5237819	77	590605	5499458	57.26	302308	141204	7	14	0.00
49989_1_102.assembly	273	119	75	61	46	32	5338825	5273784	5171351	5072929	4837911	4337938	173	461716	5311663	50.59	124096	69761	12	27	0.00
49937_1_330.assembly	354	236	162	126	64	31	4760575	4710365	4528810	4273786	3268019	2133965	282	125433	4743554	50.67	44776	20009	36	77	0.00
49947_1_120.assembly	207	81	45	35	30	22	5121553	5071009	4988180	4915472	4824855	4545522	121	491984	5098916	50.60	222062	125239	8	16	0.00
49989_2_255.assembly	165	104	76	65	48	34	5119235	5095564	5030167	4953116	4672772	4158775	124	379090	5109020	50.69	113215	64015	14	29	0.00
49989_1_356.assembly	260	128	86	73	51	31	5176607	5124669	5020850	4920933	4582750	3852467	162	280537	5149809	50.48	114754	48464	17	32	0.00
49990_2_244.assembly	151	90	60	47	38	29	5006561	4981446	4911891	4811596	4675700	4338047	111	316231	4996637	50.60	180638	88312	11	21	0.00
49990_2_117.assembly	58	34	23	22	20	17	5342286	5335319	5311788	5304444	5265212	5164756	36	761575	5337007	57.66	458377	276415	5	9	0.00
49990_1_127.assembly	289	161	97	78	54	32	6064770	6015527	5855750	5707776	5312898	4531637	201	418402	6044210	56.43	116650	47932	13	33	0.00
49937_1_150.assembly	97	68	48	42	34	23	5353677	5342140	5295695	5247791	5099729	4710428	77	480315	5348590	57.29	259732	110277	8	15	0.00
49989_1_47.assembly	151	76	46	39	30	26	5320020	5289116	5219489	5168611	5021031	4868123	101	614748	5307362	50.55	209197	126282	9	16	0.00
49989_2_107.assembly	97	57	36	33	27	20	5133071	5118065	5069784	5050440	4952886	4715544	69	1090001	5127032	50.45	237085	161983	6	12	0.00
49989_2_10.assembly	160	88	51	39	30	23	5326377	5296801	5203523	5120267	4992862	4733982	113	551594	5313661	50.74	200049	158700	9	16	0.00
49990_2_29.assembly	63	43	30	29	23	18	5216674	5209399	5175762	5170403	5059819	4889764	49	702625	5213683	57.56	411667	194079	5	11	0.00
49990_1_273.assembly	184	87	51	43	28	22	5250190	5212109	5132085	5081954	4865031	4646854	120	555717	5234917	50.84	276205	125220	8	15	0.00
49989_2_365.assembly	192	91	48	41	31	25	5241907	5197438	5099772	5043902	4891771	4654766	127	443237	5223262	50.66	190808	142495	10	18	0.00
49937_1_106.assembly	96	45	28	25	23	18	5380013	5363115	5330646	5305966	5275265	5111783	54	732322	5369568	57.29	367376	203583	6	10	0.00
49937_1_284.assembly	139	76	54	45	31	21	5246826	5222865	5176477	5116115	4870920	4513868	99	622959	5237956	50.72	203456	123597	8	15	0.00
49990_1_156.assembly	253	111	65	53	38	28	5339573	5290086	5188260	5105340	4868323	4509002	146	448716	5313683	50.48	182948	91888	10	20	0.00
49989_1_137.assembly	123	69	44	39	34	26	5250428	5226734	5167861	5132078	5050556	4777345	88	365978	5240687	50.56	204587	124528	10	18	0.00
49989_2_196.assembly	208	95	52	43	30	24	5331843	5288717	5194046	5133433	4943914	4720523	130	551594	5312307	50.73	190822	136365	10	17	0.00
49990_1_187.assembly	103	55	36	34	28	23	5430389	5416724	5368316	5354103	5247278	5052091	62	627412	5421913	57.13	311494	129665	7	13	0.00
49989_2_215.assembly	85	57	34	33	29	25	5202868	5194401	5144103	5136078	5054536	4918812	61	604478	5197887	57.58	216967	149766	7	14	0.00
49989_2_209.assembly	149	76	48	42	27	21	5242684	5213698	5146007	5104995	4893754	4688875	98	533157	5229318	50.72	225781	158764	8	15	0.00
49990_2_59.assembly	177	100	63	54	42	25	5138361	5111738	5033543	4964603	4765293	4140185	120	416953	5125053	50.72	181404	81861	10	21	0.00
49990_2_282.assembly	146	81	54	46	41	30	4996758	4980267	4916432	4862153	4779393	4370625	89	359664	4986604	53.13	169692	91304	11	22	0.00
49989_1_32.assembly	147	82	51	45	35	22	5440475	5416699	5346195	5300927	5121375	4657678	98	532549	5429108	57.41	211434	129193	9	16	0.00
49990_2_231.assembly	245	107	62	48	34	27	5329786	5270480	5173084	5073400	4884515	4650442	154	403653	5304309	50.67	196106	104012	10	19	0.00
49937_1_251.assembly	110	65	41	38	31	26	5769560	5752401	5699959	5677122	5568407	5402362	77	543087	5761233	56.77	244555	141204	8	15	0.00
49937_1_112.assembly	257	128	88	72	55	35	5134450	5081331	4991629	4882830	4631543	3898880	173	278110	5113672	50.49	107661	56951	19	34	0.00
49947_1_62.assembly	176	84	58	48	30	21	5309192	5271834	5215606	5144365	4823066	4511848	119	622959	5296027	50.72	203456	123597	8	15	0.00
49947_1_376.assembly	98	53	37	35	32	24	5524395	5511887	5475297	5461941	5406917	5090096	59	658505	5515855	57.14	319217	129991	7	14	0.00
49990_1_381.assembly	131	72	48	44	35	28	4921117	4897405	4845877	4819477	4678858	4414322	90	375351	4910811	50.65	196859	129504	10	18	0.00
49937_1_336.assembly	164	83	56	46	31	25	5270612	5238580	5174450	5111569	4886069	4674149	107	622980	5255717	50.70	191280	108993	8	16	0.00
49990_1_371.assembly	135	67	45	40	28	21	5027734	5001933	4952862	4914092	4740423	4486680	87	581214	5015314	50.67	222182	159532	8	14	0.00
49990_2_93.assembly	131	65	43	39	33	27	5467290	5446602	5406262	5380829	5280021	5077467	74	469765	5453040	57.30	237092	129654	9	17	0.00
49937_1_380.assembly	212	87	42	37	26	23	5140092	5087670	4991960	4954989	4755014	4650689	122	670571	5112898	50.69	225637	137420	8	15	0.00
49990_2_103.assembly	150	74	48	45	37	27	5273660	5243334	5185235	5164907	5041415	4664893	98	496555	5259702	50.41	198186	105003	10	18	0.00
49989_2_140.assembly	377	109	68	60	44	34	5239891	5137528	5038734	4979603	4778616	4436168	184	303698	5190622	50.61	124528	86023	14	26	0.00
49947_1_256.assembly	192	100	66	59	40	28	5011083	4975434	4901615	4850383	4568257	4141615	126	349971	4993622	50.73	174220	76210	11	22	0.00
49990_2_290.assembly	145	75	52	41	35	29	4942053	4916991	4870147	4784853	4670741	4464643	95	735336	4930716	50.39	172405	94766	9	18	0.00
49937_1_185.assembly	282	115	76	69	63	44	10517500	10463062	10390229	10348588	10249781	9532555	150	622405	10488024	56.30	292255	134079	13	25	0.00
49990_2_167.assembly	151	95	73	65	47	30	4773970	4754623	4702675	4643339	4320993	3712547	109	357711	4765047	50.67	97103	58712	13	28	0.00
49937_1_282.assembly	161	86	59	55	43	29	5313233	5284070	5221695	5190789	5030436	4565898	109	341719	5299352	50.64	173577	90598	11	21	0.00
49937_1_219.assembly	135	67	42	35	26	15	5838429	5815473	5762237	5711351	5572586	5182420	82	1215351	5826363	56.70	676275	293769	3	7	0.00
49989_1_155.assembly	224	94	49	42	31	23	5242499	5189038	5083350	5033134	4852234	4592307	136	667867	5220638	50.62	260540	117721	7	14	0.00
49937_1_91.assembly	78	46	28	24	22	15	5310388	5300063	5261191	5229671	5197567	4959630	53	975116	5305174	57.39	371094	300875	5	9	0.00
49989_1_108.assembly	163	54	37	36	31	22	5182621	5138993	5096495	5090138	5014632	4701089	84	426722	5161669	50.69	272791	183205	8	14	0.00
49937_1_188.assembly	102	62	46	38	29	23	5491871	5480991	5447686	5392525	5224144	5009518	68	814043	5485090	57.11	300984	123260	6	14	0.00
49937_1_339.assembly	174	90	57	48	36	27	5705694	5677416	5605089	5547274	5361915	5069678	106	477154	5689104	57.24	211799	108752	9	17	0.00
49937_1_224.assembly	184	82	50	41	36	27	5260463	5216390	5146737	5081662	5003820	4673685	119	511815	5243249	50.69	190808	108987	9	18	0.00
49990_1_372.assembly	159	81	49	43	30	22	5056458	5028108	4951386	4913610	4714553	4445640	102	589826	5043067	50.66	215880	118963	8	16	0.00
49989_2_240.assembly	150	78	41	33	23	19	5678980	5651304	5576685	5518164	5339867	5200844	100	1243376	5666936	56.87	292704	198311	6	11	0.00
49947_1_114.assembly	261	144	99	87	62	31	5183185	5139989	5028258	4942771	4536508	3336503	177	228596	5162591	50.57	81054	43585	20	43	0.00
49989_2_39.assembly	132	67	43	38	26	21	5072831	5049188	4995226	4956456	4782675	4604204	81	581214	5059068	50.64	239678	159532	7	13	0.00
49937_1_222.assembly	126	71	48	44	35	28	4919056	4896635	4844382	4815293	4674798	4413926	88	375302	4909362	50.65	196859	129504	10	18	0.00
49947_1_251.assembly	263	107	63	51	40	34	5552759	5499033	5388732	5304990	5122537	4949036	144	615068	5525003	57.13	170917	92928	12	23	0.00
49937_1_182.assembly	129	74	53	45	31	25	5067237	5048871	4998075	4941602	4731355	4523148	86	622952	5057429	50.75	209196	108987	8	16	0.00
49989_1_33.assembly	162	87	55	46	33	27	5353034	5322234	5251915	5185979	4978434	4751162	112	614758	5340601	50.55	209196	99427	9	18	0.00
49989_2_280.assembly	109	57	33	28	26	20	5056061	5035409	4986779	4952922	4922558	4703759	76	686639	5048572	50.68	336686	155777	6	12	0.00
49990_1_155.assembly	81	52	35	31	27	20	5410360	5400568	5362206	5331756	5265817	5047072	56	628644	5403927	57.25	307615	199630	7	12	0.00
49989_1_335.assembly	56	34	27	27	26	21	4862013	4855549	4835174	4835174	4821317	4651205	37	601147	4857743	50.63	231508	151683	6	12	0.00
49937_1_194.assembly	242	87	45	36	27	20	5133149	5074774	4977292	4911687	4778909	4541386	130	581668	5103500	50.37	227252	136971	7	13	0.00
49990_2_101.assembly	155	83	60	52	33	26	5259760	5232832	5182364	5119334	4810400	4533101	103	397510	5246921	50.55	200134	95117	9	18	0.00
49990_2_140.assembly	230	113	64	48	35	25	5151212	5099563	4986286	4872457	4682645	4322892	163	602925	5133331	50.56	177801	113001	10	19	0.00
49989_1_251.assembly	136	68	44	39	33	26	5165644	5140923	5096102	5061846	4975152	4729296	88	393316	5154498	50.66	238242	125257	8	17	0.00
49989_2_54.assembly	194	85	56	52	42	30	4944063	4905090	4849149	4827026	4674294	4235620	111	376270	4924303	50.69	155699	88131	11	22	0.00
49989_1_151.assembly	674	674	3	0	0	0	1106420	1106420	18657	0	0	0	674	8124	1106420	54.70	1639	1265	234	428	0.00
49947_1_378.assembly	231	85	51	43	28	23	5184114	5129224	5056903	4997511	4766354	4614894	128	530812	5157478	50.76	202910	123651	8	16	0.00
49937_1_243.assembly	114	76	45	35	29	24	5541055	5529796	5457625	5384145	5279270	5115476	84	754439	5534984	57.20	230014	142584	6	14	0.00
49989_1_144.assembly	136	79	62	54	43	29	5134235	5110763	5071593	5007802	4812881	4304814	99	351518	5124606	50.65	206563	82746	10	23	0.00
49937_1_130.assembly	101	64	46	38	32	26	5528021	5514463	5479860	5421707	5319834	5107866	74	613735	5521412	57.15	210931	152395	9	16	0.00
49989_1_160.assembly	222	99	62	54	43	30	5335825	5289718	5209841	5152223	4981302	4517124	133	367692	5312524	50.53	167863	91490	12	22	0.00
49937_1_223.assembly	128	73	44	39	34	28	5463000	5442471	5379604	5343862	5253753	5068604	87	473997	5453049	57.23	237061	130146	8	16	0.00
49989_1_373.assembly	91	58	39	37	28	22	5440565	5429018	5377012	5362748	5183106	4982001	65	955313	5433871	57.37	330604	149251	6	12	0.00
49937_1_379.assembly	83	51	35	32	27	20	5420884	5410363	5375329	5349026	5259100	5040630	59	628866	5415644	57.25	312935	181588	7	12	0.00
49989_2_95.assembly	136	80	52	45	29	24	5247743	5225700	5167463	5114395	4868050	4710982	100	589376	5238737	50.71	220719	137097	8	16	0.00
49989_2_149.assembly	126	68	44	43	31	24	5311226	5283767	5224248	5215892	5026128	4784419	91	376431	5300581	50.54	211013	158936	10	17	0.00
49937_1_303.assembly	126	82	52	48	37	27	5482698	5469417	5407292	5380476	5200017	4870664	92	416919	5476256	57.19	224512	95012	9	18	0.00
49989_1_323.assembly	216	97	50	42	28	24	5214156	5165363	5049511	4992592	4755899	4612826	139	376731	5193222	50.79	209202	136364	9	17	0.00
49937_1_206.assembly	251	102	57	43	35	22	5324697	5258227	5155356	5052276	4931112	4473993	160	635730	5298931	50.46	205154	107399	7	16	0.00
49990_2_285.assembly	84	51	34	32	23	19	5315078	5303639	5259708	5245238	5087587	4933551	59	715757	5309696	57.45	335877	230383	6	10	0.00
49937_1_139.assembly	204	94	49	42	30	25	5374470	5328248	5221166	5169754	4973299	4791288	136	614746	5357524	50.56	209196	111617	9	17	0.00
49937_1_35.assembly	132	61	34	32	27	22	5261188	5229622	5165602	5148490	5080699	4890917	87	485886	5248949	50.66	226825	185224	8	14	0.00
49937_1_60.assembly	1690	1689	54	0	0	0	3590550	3590421	337323	0	0	0	1689	8713	3590421	56.59	2385	1576	504	971	0.00
49989_1_358.assembly	180	74	48	40	28	22	5163188	5123025	5070463	5011212	4788920	4588458	99	593974	5140371	50.51	273721	112906	7	13	0.00
49989_2_358.assembly	199	92	46	38	30	23	5284418	5237216	5137489	5075890	4947139	4661577	131	443296	5265337	50.68	209194	153412	9	16	0.00
49989_2_62.assembly	315	107	71	58	41	34	5177435	5101469	5023020	4926012	4652864	4392338	163	319831	5140002	50.63	124080	74854	14	26	0.00
49990_1_20.assembly	237	90	45	38	32	23	5114018	5060486	4956707	4906752	4803260	4499841	129	475687	5088005	50.59	215880	125076	9	16	0.00
49990_2_44.assembly	97	54	32	32	26	20	5077260	5063343	5018622	5018622	4927332	4735296	62	659912	5068654	50.52	415282	155918	5	11	0.00
49937_1_228.assembly	191	84	44	37	29	22	5276758	5228423	5143256	5092880	4961128	4722317	126	660250	5259464	50.41	231966	119772	7	15	0.00
49989_1_72.assembly	127	73	45	37	31	24	5054028	5031158	4971327	4916807	4820925	4556660	93	733491	5045171	50.56	218036	116042	7	15	0.00
49989_1_93.assembly	229	98	50	44	31	23	5076146	5020873	4921494	4881584	4695068	4428021	135	363810	5048326	50.56	222533	133274	9	16	0.00
49947_1_375.assembly	244	89	44	36	31	23	5110312	5057460	4952696	4896795	4807843	4533793	124	491837	5081417	50.58	215892	125069	8	16	0.00
49947_1_223.assembly	182	89	58	44	37	27	5529710	5499325	5419850	5320802	5208949	4857332	108	787760	5512500	57.16	198898	100224	8	18	0.00
49937_1_34.assembly	262	103	66	56	47	31	5184799	5125742	5060335	4988351	4830719	4231369	142	362458	5154539	50.66	138144	67083	12	26	0.00
49989_1_359.assembly	199	98	59	51	36	26	5311677	5269613	5175586	5117621	4890692	4533253	132	476599	5293355	50.35	155169	110454	10	20	0.00
49947_1_218.assembly	123	73	48	41	28	23	5115060	5094898	5040091	4988295	4791156	4627428	92	399957	5107739	50.84	209197	158935	9	15	0.00
49989_1_332.assembly	37	17	13	12	12	10	4787682	4782655	4772502	4765105	4765105	4693918	19	1210632	4784087	50.29	776565	332102	3	5	0.00
